Sexo,Edades,Grupo etario ,Municipio ,Región,Etnía ,Migrante,Fecha desaparición,Día de la semana,Horario ,Estatus,Fecha localización,Tiempo desap,Rango tiempo,Fuente,Sistematización,,
Mujer,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/1/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Teopisca, Chiapas ",Altos,Indígena,No aplica,3/2/2020,Lunes,No especificado,No localizada,No aplica,No aplica,No aplica,Fiscalía General del Estado de Chiapas ,Melel Xojobal,,
Mujer,17,12 a 17,"Tonalá, Chiapas ",Istmo-Costa,Mestiza,No aplica,3/3/2020,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Marqués de Comillas, Chiapas",Maya,Indígena,No aplica,3/5/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Marqués de Comillas, Chiapas",Maya,Mestiza,No aplica,3/5/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Hombre,7,6 a 11,"Reforma, Chiapas ",Norte,Indígena,No aplica,3/7/2020,Sábado,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tonalá, Chiapas ",Istmo-Costa,Mestiza,No aplica,3/7/2020,Sábado,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/7/2020,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Frontera Comalapa, Chiapas ",Sierra Mariscal,Mestiza,No aplica,3/9/2020,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Hombre,4,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/9/2020,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,Alerta Amber Chiapas ,Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/9/2020,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Chiapa de Corzo, Chiapas ",Metropolitana,Mestiza,No aplica,3/10/2020,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,3/13/2020,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/14/2020,Sábado,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Mazatán, Chiapas",Soconusco,Indígena,No aplica,3/15/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Mazatán, Chiapas",Soconusco,Indígena,No aplica,3/15/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Hombre,11,6 a 11,"San Cristóbal de Las Casas, Chiapas ",Altos,Indígena,No aplica,3/17/2020,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,¿Has visto a? Chiapas,Melel Xojobal,,
Mujer,9,6 a 11,"San Cristóbal de Las Casas, Chiapas ",Altos,Indígena,No aplica,3/17/2020,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Socoltenango, Chiapas ",De los llanos,Mestiza,No aplica,3/17/2020,Martes,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/18/2020,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Arriaga, Chiapas",Istmo-Costa,Mestiza,No aplica,3/19/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,3/20/2020,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,3/20/2020,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Hombre,1,0 a 5,"San Fernando, Chiapas ",Mezcalapa,Mestiza,No aplica,3/23/2020,Lunes,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Villa Comaltitán, Chiapas ",Soconusco,Mestiza,No aplica,3/23/2020,Lunes,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,11,6 a 11,"Villaflores, Chiapas ",Frailesca,Mestiza,No aplica,3/23/2020,Lunes,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Mapastepec, Chiapas ",Istmo-Costa,Mestiza,No aplica,4/1/2020,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,6,6 a 11,"Cintalapa, Chiapas ",Valle Zoque,Mestiza,No aplica,4/2/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,2,0 a 5,"Cintalapa, Chiapas ",Valle Zoque,Mestiza,No aplica,4/2/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Chiapa de Corzo, Chiapas ",Metropolitana,Indígena,No aplica,4/3/2020,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,5,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/3/2020,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Pueblo Nuevo Solistahuacán, Chiapas ",De los bosques,Indígena,No aplica,4/4/2020,Sábado,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,4/9/2020,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,6,6 a 11,"Ocozocoautla de Espinosa, Chiapas",Valle Zoque,Mestiza,No aplica,4/10/2020,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,5,0 a 5,"Ocozocoautla de Espinosa, Chiapas",Valle Zoque,Mestiza,No aplica,4/10/2020,Viernes,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,12,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/11/2020,Sábado,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,Mestiza,No aplica,4/12/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,13,12 a 17,"Villa Comaltitán, Chiapas ",Soconusco,Mestiza,No aplica,4/12/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,4/15/2020,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Indígena,No aplica,4/15/2020,Miércoles,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Hombre,4,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/16/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/18/2020,Sábado,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,2,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Mestiza,No aplica,4/19/2020,Domingo,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,15,12 a 17,"Acapetahua, Chiapas",Soconusco,Mestiza,No aplica,4/23/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Hombre,17,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,Mestiza,No aplica,4/23/2020,Jueves,No especificado,No localizada,No aplica,No aplica,No aplica,Fiscalia Contra la Desaparición forzada de personas y la cometida por particulares ,Melel Xojobal,,
Mujer,13,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,4/23/2020,Jueves,No especificado,Localizada,No especificado,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
Mujer,14,12 a 17,"Tapachula, Chiapas ",Soconusco,Mestiza,No aplica,4/24/2020,Viernes,No especificado,No localizada,No aplica,No aplica,No aplica,Observatorio Feminista contra la Violencia a las Mujeres de Chiapas,Melel Xojobal,,
